//
//     Generated by class-dump 3.5 (64 bit) — routine listing.
//
// image:   /var/folders/hq/s7n8_wx50wd3vxklqrz_yt6m0000gn/T/class-dump-dsc-E97277E0-AA93-4B8F-8728-7A7EC5985FC6/System/iOSSupport/System/Library/AccessibilityBundles/MobileSafariFramework.axbundle/Contents/MacOS/MobileSafariFramework
// arch:    arm64e
// uuid:    171B6563-14B9-3A94-AB3C-C638DF2D7CA3
// text:    0x0000000287314000
// count:   722 routines
//
// columns: addr  size  segment,section  kind  name [demangled] [objc-binding]
//
0x0000000287319190  0x00000020  __TEXT,__text  objc  +[TabOverviewLargeTitleViewAccessibility _accessibilityPerformValidations:]  // +[TabOverviewLargeTitleViewAccessibility ?]
0x00000002873191b0  0x0000009c  __TEXT,__text  objc  -[TabOverviewLargeTitleViewAccessibility _accessibilityLoadAccessibilityInformation]  // -[TabOverviewLargeTitleViewAccessibility ?]
0x000000028731924c  0x0000000c  __TEXT,__text  objc  +[TabSwitcherAccessibility(SafeCategory) safeCategoryTargetClassName]  // +[TabSwitcherAccessibility layoutAttributesForItemAtIndexPath:]
0x0000000287319258  0x0000000c  __TEXT,__text  objc  +[TabSwitcherAccessibility(SafeCategory) safeCategoryBaseClass]  // +[TabSwitcherAccessibility ?]
0x0000000287319264  0x00000040  __TEXT,__text  objc  +[TabSwitcherAccessibility _accessibilityPerformValidations:]  // +[TabSwitcherAccessibility ?]
0x00000002873192a4  0x00000068  __TEXT,__text  objc  -[TabSwitcherAccessibility _accessibilityLoadAccessibilityInformation]  // -[TabSwitcherAccessibility ?]
0x000000028731930c  0x0000000c  __TEXT,__text  objc  +[TabOverviewDisplayItemAccessibility(SafeCategory) safeCategoryTargetClassName]  // +[TabOverviewDisplayItemAccessibility keyboardType]
0x0000000287319318  0x0000000c  __TEXT,__text  objc  +[TabOverviewDisplayItemAccessibility(SafeCategory) safeCategoryBaseClass]  // +[TabOverviewDisplayItemAccessibility ?]
0x0000000287319324  0x00000120  __TEXT,__text  objc  +[TabOverviewDisplayItemAccessibility _accessibilityPerformValidations:]  // +[TabOverviewDisplayItemAccessibility ?]
0x0000000287319444  0x00000240  __TEXT,__text  objc  -[TabOverviewDisplayItemAccessibility _accessibilityLoadAccessibilityInformation]  // -[TabOverviewDisplayItemAccessibility ?]
